,text,label
8017, the problem is you unite with the gop way too much. o rourke was reliably conservative. in the th congress he was more conservative than percent of dem,1
8018, . what was the stand of coward sonia gandhi in the all india party ?. coward should give up spg security then show care for common indiansrahullovesterroristsrahulmasoodjicommentpledgeagainstcorruptionmasood azhar jirahulmasoodjiremark,1
8019, wayanad seat shows rahul gandhis strength over pm modi dr ,1
8020,if at all bjp leaders want to learn some decency they should learn how to conduct oneself in difficult conditions from abhinandanpeople will teach them a befitting lesson in the upcoming elections for using soldiers to gain political momentum.bjpfailednationalsecurity ,1
8021,bad situation so far no proof of casualties in balakotairstrike. ground reports from reuters bbc urdu aje say no casualties iaf pilot abhinandan in pak captivity. modi govt silent six iaf officers civilian killed in budgam air crash pak dominating propaganda war,1
8022,loksabhaelectionsmetooindiamilordtooranjangogoicjiranjangogoiy shd ablanari lie ??taste ur own medicine metoo ,1
8023,youth congress workers are going door to door across the country to tell voters about the congress manifesto.with your generous donation we can tell even more people about schemes like nyay that will benefit the poorest indians.donate now ,1
8024,before assembly poll congress promised the moon to farmers dalits small traders students and the unemployed youth only to abandon and cheat them once the maharaja sat on the throne. how cruelly insensitive to the agony of the poor and the suffering.,1
8025,the “western” world understands the pain of terrorism only when terrorism strikes on their terrain. we see daily how hinduphobic zealots at nyt rationalize terrorism on indian soil. in the backdrop of nz killings pm modi should remind the world of the dangers of terrorism.,1
8026,priests defending pedophiles.congress defending whitecollar criminals.das defending killer cops.constitutional conservatives defending racism.,1
8027,yesterday i introduced my first bill the stop stupidity act. under this legislation in cases of budget impasses funding levels would be extended most federal employees would be protected the burden would be on congress the white house to find a solution. ,1
8028,will not give up independent he sahi per bjp karein gey inshaallah. appealing to those who are registered as national party and can contest all over india to help in defeating corrupt political parties. limited time left. please contact ,1
8029,‘flyover minister’ doesn’t need modi support for reelection. name nitin gadkari is good enough...brilliant report from nagpur on theprintpolitics ,1
8030,just checked into the hotel in melbourne for the world congress of nephrology isnwcn. met elgun haziyev nephrologist in turkey. knows you both and ,1
8031,nonviolence is a weapon of the strong.mahatma gandhi ,1
8032,we would have come across hundreds of people who vote bjp. ask them why they vote bjp...more than % would say it is for modi...,1
8033,priyanka chaturvedi quits congress leaves ‘aicc online media’ group on whatsapp removes aicc convener from her official twitter handle. with the details. maywithtimesnow ,1
8034,arrestmehbooba a was created by spineless congress they could not dare to abolish due fear of losing vote bank of minorities. india need strong leadership like pm modi to abolish a article.,1
8035,you lied to congress when you testified that was compromised by russia. now you want truth transparency? ,1
8036,column john dingells devotion to the institute of congress will be his lasting legacy writes . ,1
8037,with our honourable pm shree narendra modi ji everyone who is working for betterment of our nation is a chowkidar mainbhichowkidar ,1
8038, best wishes ji💐,1
8039, and often they are paid far more than the value they create. congress is a perfect example,1
8040,nothing can best suits congress other than vampirecongress.shame. ,1
8041,the supreme court gave modi an ideal opportunity to cancel ambani’s offset contract for rafale to save himself embarrassment. modi did not act ,1
8042,now modi has a problem with socalled ‘khan market gang’ as it is apparently the only real face of liberal bourgeoisie it seemslekin apne best friends ambani adani aur vedanta gang ko poora desh bech daalna toh ‘propoor’ hai. ,1
8043, dgp sir why not case is registered under gunda act or such an ipc in which accused does not got bail before year atleast should be prisoned atleast yearsrequesting bjp yogi ji to look into matter as accused are not booked under strict ipc..,1
8044,i am from up often visit amethi. congress has ruled here for years its the most underdeveloped places in india yet they win here everytime. this is the fakegandhisrahulsonia winning formulakeep india poor uneducated underdeveloped victory is sure. smritiforamethi,1
8045,congress replaces maharashtra poll candidate over ashok chavan audio clip ,1
8046,prime minister is the poster boy of pakistan says congress president ,1
8047,new zealand pm is wearing scarf and hugging muslims and we got frigging chowkidar twitter handle.,1
8048,chowkidarchorhai. pm modi had said that he didnt want to be the prime minister of the country but wanted to be chowkidar. but now a new slogan has emerged from people of this country chowkidar chor haipeople have realized the blunder of 🙏 ,1
8049, lakhs of people gathered at rajasthan congress rally.. what a tremendous support lahar nahi ye aaandhi hai nam inka rahul gandhi hai im back on twitter 😎 bhakto jhola uthao ab😎rahulforbehtarbharat ,1
8050, their are hindu terrorists who exists and kill innocent indians. this word was used by home ministry atf late karkare as these terrorists were involved in ajmer mecca masjid malegaon samjautha express blasts. their are many examples. namo is misleading saying lies again,1
8051,narendra modi is known for being a compulsive tweeter it is hard to read his failure to tweet condolences following the new zealand mosque attacks as anything but a calculated political move to appease his hindu nationalist base in the run up to indias election this year,1
8052,modioncemore modiagain the loss of support in bangalore evident from the way the techies are supporting modi in rahul’s rallyheartening to hear chants of modi ,1
8053,azamkhan gave sexist remark against jayamedia opposition culture exposed why is rahul silentwill the gatbandhan apologizebjp leader satpal gave sexist remark against sonia and priyankamedia delhi temperature rises taimur changed his diaper does alien exist?copied,1
8054,bjp first conspired to introduce grossly antiquota point roster for departmentwise in universities but now afraid of election it is trying to somehow hoodwink people. the bjp govt is totally against the reservation for scs sts obcs is no secret. it’s ouster is necessary.,1
8055,every time pappu mocking the entire societyshown respect to terrorist but not towards the citizenthe nature flows through t entire partyeven his it head laundiya made a remark against the voter.is this man ever deserving to be a fellow indian let alone becoming t mamma pm? ,1
8056,so sam pitroda is the new mani shankar aiyar. what an idiotic comment modi has hit it out of the park.,1
8057,afraid of social boycott bjp workers hide their faces at kashmir rally despite recent gains backing saffron party still a taboo in valley firstpost ,1
8058, s future president and pm candidate for ,1
8059, he is congress party president he is our leader. we follow him. we chose him. why you are getting loose motion in it? you need not worry about congress leadership. ask amit shah who is your party president where did spend months when he was ordered tadipar by supreme court,1
8060, on november the st congress quietly repealed the mccarran warner act of forbidding muslims from holding office members of that congress were dick cheney john mccain joe biden al gore john kerry mitch mcconnell chuck schumer nancy pelosi. now u know.,1
8061, मैं भी चौकीदार हूँ । india for namo ji is our chowkidar for ekk bharat srestha bharat one india strong nation. we are stand with chowkidar again and again . .,1
8062,. i think it’s important to have this fight in the congress for two reasons. one is a matter of principle. looking to a federal judge to rule in their favor is actually an authoritarian maneuver if you think about it.,1
8063,given that link thro my tweet. currently the link hasbeen pulled down👉short summary is pakistan should bring all modi opposition together,1
8064,the great nda chokidar why dont you and your govt has not act of as you are shouting in meetings and making fools.why dont you say i am speaking for election game not for action . even since last years you hv not initiated any concrete action against you said in . ,1
8065, +. thank you to all those who tirelessly protested at the day after who marched every time our norms were attacked who called congress a lot who sent post cards who raised our spirits or scare us into action. the payoff is just beginning. keep. it. up,1
8066,happy birthday lots of love from nimo younger brother of namo,1
8067,agree but why was a comedian shyam rangeela’s performance taken off akshay kumar’s show just because he mimicked . why have people including women been thrashed and arrested for waving black flags at amit shah modi and yogi? politicians need to be thickskinned ,1
8068,dismal report card of modi govts years has been all about optics hide its shortcomings now is forced to shamefully misuse the bravery of our armed forces electoral gains. martyr pintu kumar singhs funeral was a display of such shamelessness. ,1
8069,❝ rasta aap chunte hain par..manzil aapko chunti hai ❞to mumbai with bags full of hopes n pockets full of dreams not to forget the sizzling heat of romance as an added bonus 😉please keep watching yehundinonkibaathai monfri pm ,1
8070,congress refused to give funding to build his ineffective wasteful multibillion dollar concrete border wall – so now he has declared a faketrumpemergency. we’re not going to stand for this. ,1
8071,disgusting vile manrants for two hours to applauseby his sycophants.he convinces themto support positions theyonce strongly opposed.he undermines ruleof law the courts congress andthe constitution.trumphaiku,1
8072,govt sources on pak pm imran khan wanting to speak with modi on phone immediate credible verifiable action against terror is required before any such conversation. imran khan should now walk the talk on dealing with terrorism. that is our message to pakistan.,1
8073,i feel bad for those aap supporters who were aggressively campaigning for congress. ,1
8074, while i cant say if caste considerations overpower such a record i can say that everyone everyone associates a clean neighbourhood and clean surrounding only with modi. even down south where he is not as popular. ,1
8075, hey bot.tnwelcomesmodi modiunstoppable modioncemore bharatkibaat your people are laughing at u bot bot. ,1
8076,crying wolf in modi’s india. very true fake facts by ⁦factcheckers ⁩ called out by ⁦⁩ ,1
8077, bjp is a very bad product and thats why it need lots of advertisement. however people know this product is a killer product and hence they wont go for it no matter who advertise this product. this is as fake as feku is....,1
8078,my interview with where i discuss about modiagain don’t hesitate to say that modi is the engine of train called “bharata” how can you even think of running train without engine. cc ,1
8079,imran khan’s revelation on narendra modi’s letter leaves indian pm redfaced,1
